Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,A0005356,Т1,A0005356_Т1,"6,000","3,000",Текущий ремонт 1,1100,100,1-0189,45513_30396,,960005356,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005356,Т2,A0005356_Т2,"12,000","6,000",Текущий ремонт 2,1100,100,1-0189,45514_30396,,960005356,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005356,ТО,A0005356_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0189,45512_30396,,960005356,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005357,Т1,A0005357_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,2-0385,49743_30397,,960005357,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005357,Т2,A0005357_Т2,"48,000","18,000",Текущий ремонт 2,1100,100,2-0385,49744_30397,,960005357,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005357,ТО,A0005357_ТО,"2,000","2,000",Техническое обслуживание,1100,100,2-0385,49742_30397,,960005357,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005358,Т1,A0005358_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6354_30398,,960005358,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005358,Т2,A0005358_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6355_30398,,960005358,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005358,ТО,A0005358_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6353_30398,,960005358,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005359,Т1,A0005359_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6376_30399,,960005359,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
